Time (UTC),Time (Local),Name,Unit,Quantity,Mass (g),Ingredients,Calories (kcal),Carbs (g),Fat (g),Protein (g),Saturated Fat (g),Trans Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Sodium (mg),Fiber (g),Sugar (g),Sugar Added (g),Vitamin D (mg),Calcium (mg),Iron (mg),Potassium (mg),Vitamin A (IU),Vitamin C (mg),Alcohol (g),Sugar Alcohol (g),Vitamin B12 (µg),Vitamin B12 Added (µg),Vitamin B6 (mg),Vitamin E (mg),Vitamin E Added (mg),Magnesium (mg),Phosphorus (mg),Iodine (µg)
2025-07-27T22:38:34.000Z,2025-07-27T18:38:34,"pork chop","chop without refuse",1,157,"null",328.13,0,17.3642,40.2077,5.5233,0.168,6.6254,2.1336,131.88,86.35,0,0,0,47.1,37.68,1.2403,540.08,9.42,0,0,0,0.9263,0,1.0503,0,0,39.25,345.4,0
2025-07-27T22:38:34.000Z,2025-07-27T18:38:34,"watermelon","cup",0.5,76.5,"null",22.95,5.7758,0.1148,0.4667,0.0122,0,0.0283,0.0383,0,0.765,0.306,4.743,0,0,5.355,0.1836,85.68,435.285,6.1965,0,0,0,0,0.0344,0,0,7.65,8.415,0
2025-07-27T20:20:27.000Z,2025-07-27T16:20:27,"blackberries","bowl",1,288,"null",123.84,27.6768,1.4112,4.0032,0.0403,0,0.1354,0.8064,0,2.88,15.264,14.0544,0,0,83.52,1.7856,466.56,616.32,60.48,0,0,0,0,0.0864,0,0,57.6,63.36,0
2025-07-27T20:20:27.000Z,2025-07-27T16:20:27,"popcorn","bowl",1,15.8,"null",88.006,8.7153,5.3752,1.185,1.1401,1.5487,3.3406,0.3779,0,120.712,1.58,0.0869,0,0,3.16,0.2923,37.92,35.234,0.0158,0,0,0,0,0.0446,0,0,14.852,39.658,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"butter beans","cup",1,188,"null",216.2,39.2544,0.7144,14.664,0.1673,0,0.0639,0.3215,0,3.76,13.16,5.452,0,0,31.96,4.4932,955.04,0,0,0,0,0,0,0.3027,0,0,80.84,208.68,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"red peppers","pepper",1,114,"null",31.92,7.638,0.228,1.0488,0.0331,0,0.0148,0.1208,0,2.28,1.368,5.0046,0,0,10.26,0.5244,189.24,3352.74,194.94,0,0,0,0,0.2656,0,0,11.4,20.52,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"vegetable dip","tablespoons",2,30,"null",87.779,0.7416,9.2958,0.5356,3.2472,0.0127,2.229,3.2154,13.9311,344.8035,0.0244,0.6711,0,3.4581,25.6827,0.102,37.232,185.3533,0.9263,0,0,0.0678,0,0.0144,0,0,2.6462,26.5215,0
2025-07-27T16:55:00.000Z,2025-07-27T12:55:00,"chicken wing","wingette or drummette",1,26.79,"null",87.7383,2.6364,6.5091,4.5265,2.3143,0.0637,2.4354,1.2074,21.9538,105.2761,0.1077,0.0649,0,1.1662,5.3302,0.3109,45.8834,112.7358,0.6994,0,0,0.0596,0,0.0734,0,0,4.0566,28.5265,0
2025-07-27T15:14:52.000Z,2025-07-27T11:14:52,"peanut butter","tbsp",2,32,"null",188.16,7.6736,15.8528,7.0176,3.0461,0,6.6323,3.6259,0,152.32,1.824,2.08,0,0,17.28,0.6912,189.44,0,0,0,0,0,0,0.1763,0,0,57.28,107.2,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"egg","large",1,50,"null",71.5,0.36,4.755,6.28,1.563,0.019,1.829,0.9555,186,71,0,0.185,0,41,28,0.875,69,270,0,0,0,0.445,0,0.085,0,0,6,99,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"matcha","tsp",1,2,"null",0.02,0,0,0.0044,0,0,0,0,0,0.02,0,0,0,0,0,0.0004,0.16,0,0.006,0,0,0,0,0.0001,0,0,0.02,0,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"strawberries","g",90,90,"null",28.8,6.912,0.27,0.603,0.0135,0,0.0387,0.1395,0,0.9,1.8,4.401,0,0,14.4,0.369,137.7,10.8,52.92,0,0,0,0,0.0423,0,0,11.7,21.6,0
2025-07-27T11:25:35.000Z,2025-07-27T07:25:35,"milk","cup",1,244,"null",122,11.712,4.8312,8.052,3.0671,0.2074,1.3664,0.1781,19.52,114.68,0,12.3464,0,119.56,292.8,0.0488,341.6,463.6,0.488,0,0,1.2932,0,0.0927,0,0,26.84,224.48,0
2025-07-27T11:15:39.000Z,2025-07-27T07:15:39,"egg","large",1,50,"null",71.5,0.36,4.755,6.28,1.563,0.019,1.829,0.9555,186,71,0,0.185,0,41,28,0.875,69,270,0,0,0,0.445,0,0.085,0,0,6,99,0
2025-07-26T23:02:05.000Z,2025-07-26T19:02:05,"chicken wings","wingette or drummette",8,214.32,"null",701.9061,21.0911,52.0731,36.2117,18.5145,0.5097,19.4832,9.6594,175.6305,842.2085,0.8615,0.5192,0,9.3295,42.6417,2.4873,367.0672,901.8867,5.5955,0,0,0.4764,0,0.5874,0,0,32.4526,228.2123,0
2025-07-26T23:02:05.000Z,2025-07-26T19:02:05,"radish","medium (3/4" to 1" dia)",1,4.5,"null",0.72,0.153,0.0045,0.0306,0.0014,0,0.0008,0.0022,0,1.755,0.072,0.0837,0,0,1.125,0.0153,10.485,0.315,0.666,0,0,0,0,0.0032,0,0,0.45,0.9,0
2025-07-26T19:14:59.847Z,2025-07-26T15:14:59,"cookie","medium (3" diameter)",0.5,15,"null",73.8,9.804,3.708,0.765,1.2137,0.1026,0.9408,1.2626,0,46.65,0.3,4.935,0,0,3.15,0.837,25.65,0.15,0,0,0,0.0045,0,0.0087,0,0,6.15,16.35,0
