📊 HealthCopilot Phase 3 Dashboard 2025-10-08_12-40-40
============================================================

steps_sum                | n=172 | R²=0.316 | adjR²=0.260 | AIC=3446.9
active_kcal              | n=171 | R²=0.057 | adjR²=-0.021 | AIC=2138.0
basal_kcal               | n=171 | R²=0.092 | adjR²=0.071 | AIC=1944.8
resting_hr_bpm           | n=172 | R²=0.055 | adjR²=0.043 | AIC=1262.0
hrv_sdnn_ms              | n=171 | R²=0.099 | adjR²=0.088 | AIC=1630.2
total_min                | n=168 | R²=0.073 | adjR²=-0.006 | AIC=2057.1
core_min                 | n=169 | R²=0.101 | adjR²=0.025 | AIC=2016.0
deep_min                 | n=168 | R²=0.044 | adjR²=-0.030 | AIC=1541.3
rem_min                  | n=168 | R²=0.023 | adjR²=-0.052 | AIC=1720.8
inbed_min                | n=168 | R²=0.074 | adjR²=0.003 | AIC=1739.8
energy_score             | n=171 | R²=0.061 | adjR²=-0.017 | AIC=2244.4
